itin_id,day_no,port_slug,port_label,arrive,depart,note
i0013,2,at-sea,At sea,,,At sea
i0013,3,cozumel,Cozumel Mexico,8:00 AM,6:00 PM,
i0013,4,roatan,Roatan Honduras,8:00 AM,5:00 PM,
i0013,5,costa-maya,Costa Maya Mexico,8:00 AM,3:00 PM,
i0013,6,at-sea,At sea,,,At sea
i0013,7,galveston,Galveston TX,8:00 AM,,Disembarkation
i0014,1,galveston,Galveston TX,,4:00 PM,Embarkation day
i0014,2,at-sea,At sea,,,At sea
i0014,3,cozumel,Cozumel Mexico,6:00 PM,,Evening arrival - overnight in port
i0014,4,cozumel,Cozumel Mexico,,5:00 PM,Overnight continues - full day in port
i0014,5,at-sea,At sea,,,At sea
i0014,6,galveston,Galveston TX,7:00 AM,,Disembarkation
i0015,1,galveston,Galveston TX,,3:00 PM,Embarkation day
i0015,2,at-sea,At sea,,,At sea
i0015,3,at-sea,At sea,,,At sea
i0015,4,cococay,Perfect Day at CocoCay,7:00 AM,5:00 PM,
i0015,5,nassau,Nassau Bahamas,7:30 AM,5:30 PM,
i0015,6,at-sea,At sea,,,At sea
i0015,7,cozumel,Cozumel Mexico,7:00 AM,5:00 PM,
i0015,8,at-sea,At sea,,,At sea
i0015,9,galveston,Galveston TX,7:00 AM,,Disembarkation
i0016,1,galveston,Galveston TX,,4:00 PM,Embarkation day
i0016,2,at-sea,At sea,,,At sea
i0016,3,cozumel,Cozumel Mexico,8:00 AM,6:00 PM,
i0016,4,roatan,Roatan Honduras,9:00 AM,5:00 PM,
i0016,5,at-sea,At sea,,,At sea
i0016,6,falmouth,Falmouth Jamaica,8:00 AM,5:00 PM,
i0016,7,george-town,George Town Grand Cayman,8:00 AM,5:00 PM,
i0016,8,at-sea,At sea,,,At sea
i0016,9,at-sea,At sea,,,At sea
i0016,10,galveston,Galveston TX,7:00 AM,,Disembarkation
i0017,1,galveston,Galveston TX,,4:30 PM,Embarkation day
i0017,2,at-sea,At sea,,,At sea
i0017,3,at-sea,At sea,,,At sea
i0017,4,roatan,Roatan Honduras,8:00 AM,5:00 PM,
i0017,5,costa-maya,Costa Maya Mexico,8:00 AM,5:00 PM,
i0017,6,cozumel,Cozumel Mexico,7:00 AM,5:00 PM,
i0017,7,at-sea,At sea,,,At sea
i0017,8,galveston,Galveston TX,6:00 AM,,Disembarkation
i0018,1,galveston,Galveston TX,,4:00 PM,Embarkation day
i0018,2,at-sea,At sea,,,At sea
i0018,3,cozumel,Cozumel Mexico,8:00 AM,6:00 PM,
i0018,4,roatan,Roatan Honduras,8:00 AM,5:00 PM,
i0018,5,at-sea,At sea,,,At sea
i0018,6,at-sea,At sea,,,At sea
i0018,7,willemstad,Willemstad Curacao,8:00 AM,5:00 PM,
i0018,8,oranjestad,Oranjestad Aruba,8:00 AM,5:00 PM,
i0018,9,at-sea,At sea,,,At sea
i0018,10,at-sea,At sea,,,At sea
i0018,11,fort-lauderdale,Fort Lauderdale FL,7:00 AM,,Disembarkation - one-way cruise ends in Fort Lauderdale
