campaign_name,ad_group,page_id,final_url,keyword,match_type,volume_mid,class,expected_intent_note,tracking_slot,suggested_start_bid,headline_seed_1,headline_seed_2,headline_seed_3
RC-npq-rci-dest-alaska-BOOK,npq-rci-dest-alaska--core,npq-rci-dest-alaska,/en/go/lines/royal-caribbean/to/alaska/,royal caribbean alaska cruise,exact,22200,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-alaska-BOOK,0.20,Royal Caribbean Alaska Cruises,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-npq-rci-dest-alaska-BOOK,npq-rci-dest-alaska--core,npq-rci-dest-alaska,/en/go/lines/royal-caribbean/to/alaska/,royal caribbean alaska cruise,"phrase (discovery, negatives applied)",22200,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-alaska-BOOK,0.20,Royal Caribbean Alaska Cruises,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-npq-rci-dest-alaska-BOOK,npq-rci-dest-alaska--core,npq-rci-dest-alaska,/en/go/lines/royal-caribbean/to/alaska/,royal caribbean alaskan cruise,exact,3600,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-alaska-BOOK,0.20,Royal Caribbean Alaska Cruises,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-npq-rci-dest-alaska-BOOK,npq-rci-dest-alaska--core,npq-rci-dest-alaska,/en/go/lines/royal-caribbean/to/alaska/,royal caribbean alaska,exact,1900,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-alaska-BOOK,0.20,Royal Caribbean Alaska Cruises,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-npq-rci-dest-alaska-BOOK,npq-rci-dest-alaska--core,npq-rci-dest-alaska,/en/go/lines/royal-caribbean/to/alaska/,royal caribbean cruise to alaska,exact,1300,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-alaska-BOOK,0.20,Royal Caribbean Alaska Cruises,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-npq-rci-dest-alaska-BOOK,npq-rci-dest-alaska--core,npq-rci-dest-alaska,/en/go/lines/royal-caribbean/to/alaska/,royal caribbean alaska cruise tours,exact,260,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-alaska-BOOK,0.24,Royal Caribbean Alaska Cruises,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-npq-rci-family-BOOK,npq-rci-family--family,npq-rci-family,/en/go/lines/royal-caribbean/family-cruises/,royal caribbean family cruise,exact,22200,BOOK-NOW,"Family planning a cruise; call must match kid-friendly ship, dates, quad cabin",fwd-RC-npq-rci-family-BOOK,0.22,Royal Caribbean Family Trips,Kid Friendly Ships And Dates,Call A Family Cruise Planner
RC-npq-rci-family-BOOK,npq-rci-family--family,npq-rci-family,/en/go/lines/royal-caribbean/family-cruises/,royal caribbean family cruise,"phrase (discovery, negatives applied)",22200,BOOK-NOW,"Family planning a cruise; call must match kid-friendly ship, dates, quad cabin",fwd-RC-npq-rci-family-BOOK,0.22,Royal Caribbean Family Trips,Kid Friendly Ships And Dates,Call A Family Cruise Planner
RC-npq-rci-family-BOOK,npq-rci-family--family,npq-rci-family,/en/go/lines/royal-caribbean/family-cruises/,royal caribbean family suite,exact,1000,BOOK-NOW,"Family planning a cruise; call must match kid-friendly ship, dates, quad cabin",fwd-RC-npq-rci-family-BOOK,0.20,Royal Caribbean Family Trips,Kid Friendly Ships And Dates,Call A Family Cruise Planner
RC-npq-rci-family-BOOK,npq-rci-family--family,npq-rci-family,/en/go/lines/royal-caribbean/family-cruises/,royal caribbean ultimate family suite,exact,880,BOOK-NOW,"Family planning a cruise; call must match kid-friendly ship, dates, quad cabin",fwd-RC-npq-rci-family-BOOK,0.20,Royal Caribbean Family Trips,Kid Friendly Ships And Dates,Call A Family Cruise Planner
RC-npq-rci-family-BOOK,npq-rci-family--family,npq-rci-family,/en/go/lines/royal-caribbean/family-cruises/,royal caribbean family suite cost,exact,260,BOOK-NOW,"Family planning a cruise; call must match kid-friendly ship, dates, quad cabin",fwd-RC-npq-rci-family-BOOK,0.20,Royal Caribbean Family Trips,Kid Friendly Ships And Dates,Call A Family Cruise Planner
RC-npq-rci-family-BOOK,npq-rci-family--family,npq-rci-family,/en/go/lines/royal-caribbean/family-cruises/,royal caribbean cruise for family of 5,exact,260,BOOK-NOW,"Family planning a cruise; call must match kid-friendly ship, dates, quad cabin",fwd-RC-npq-rci-family-BOOK,0.27,Royal Caribbean Family Trips,Kid Friendly Ships And Dates,Call A Family Cruise Planner
RC-npq-rci-family-BOOK,npq-rci-family--family,npq-rci-family,/en/go/lines/royal-caribbean/family-cruises/,royal caribbean family cruise deals,exact,170,BOOK-NOW,"Family planning a cruise; call must match kid-friendly ship, dates, quad cabin",fwd-RC-npq-rci-family-BOOK,0.20,Royal Caribbean Family Trips,Kid Friendly Ships And Dates,Call A Family Cruise Planner
RC-npq-rci-family-BOOK,npq-rci-family--family,npq-rci-family,/en/go/lines/royal-caribbean/family-cruises/,family cabin royal caribbean,exact,170,BOOK-NOW,"Family planning a cruise; call must match kid-friendly ship, dates, quad cabin",fwd-RC-npq-rci-family-BOOK,0.34,Royal Caribbean Family Trips,Kid Friendly Ships And Dates,Call A Family Cruise Planner
RC-npq-rci-family-BOOK,npq-rci-family--family,npq-rci-family,/en/go/lines/royal-caribbean/family-cruises/,royal caribbean family room,exact,110,BOOK-NOW,"Family planning a cruise; call must match kid-friendly ship, dates, quad cabin",fwd-RC-npq-rci-family-BOOK,0.20,Royal Caribbean Family Trips,Kid Friendly Ships And Dates,Call A Family Cruise Planner
RC-npq-rci-miami-BOOK,npq-rci-miami--core,npq-rci-miami,/en/go/lines/royal-caribbean/from/miami/,royal caribbean cruises from miami,exact,9900,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-miami-BOOK,0.22,Royal Caribbean From Miami,Miami Sailings And Dates,Talk To A Cruise Specialist
RC-npq-rci-miami-BOOK,npq-rci-miami--core,npq-rci-miami,/en/go/lines/royal-caribbean/from/miami/,royal caribbean cruises from miami,"phrase (discovery, negatives applied)",9900,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-miami-BOOK,0.22,Royal Caribbean From Miami,Miami Sailings And Dates,Talk To A Cruise Specialist
RC-npq-rci-miami-BOOK,npq-rci-miami--core,npq-rci-miami,/en/go/lines/royal-caribbean/from/miami/,royal caribbean miami port,exact,5400,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-miami-BOOK,0.41,Royal Caribbean From Miami,Miami Sailings And Dates,Talk To A Cruise Specialist
RC-npq-rci-miami-BOOK,npq-rci-miami--core,npq-rci-miami,/en/go/lines/royal-caribbean/from/miami/,port for royal caribbean in miami,exact,1600,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-miami-BOOK,0.62,Royal Caribbean From Miami,Miami Sailings And Dates,Talk To A Cruise Specialist
RC-npq-rci-miami-BOOK,npq-rci-miami--core,npq-rci-miami,/en/go/lines/royal-caribbean/from/miami/,royal caribbean cruise miami port,exact,1300,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-miami-BOOK,0.32,Royal Caribbean From Miami,Miami Sailings And Dates,Talk To A Cruise Specialist
RC-npq-rci-miami-BOOK,npq-rci-miami--core,npq-rci-miami,/en/go/lines/royal-caribbean/from/miami/,royal caribbean cruise line miami,exact,1000,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-miami-BOOK,0.23,Royal Caribbean From Miami,Miami Sailings And Dates,Talk To A Cruise Specialist
RC-npq-rci-miami-BOOK,npq-rci-miami--core,npq-rci-miami,/en/go/lines/royal-caribbean/from/miami/,miami cruise port for royal caribbean,exact,260,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-miami-BOOK,0.28,Royal Caribbean From Miami,Miami Sailings And Dates,Talk To A Cruise Specialist
RC-npq-rci-miami-BOOK,npq-rci-miami--core,npq-rci-miami,/en/go/lines/royal-caribbean/from/miami/,royal caribbean ships from miami,exact,170,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-miami-BOOK,0.20,Royal Caribbean From Miami,Miami Sailings And Dates,Talk To A Cruise Specialist
RC-npq-rci-port-canaveral-BOOK,npq-rci-port-canaveral--core,npq-rci-port-canaveral,/en/go/lines/royal-caribbean/from/port-canaveral/,royal caribbean port canaveral,exact,12100,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-port-canaveral-BOOK,0.20,Royal Caribbean Port Canaveral,Sailings And Departure Dates,Talk To A Cruise Specialist
RC-npq-rci-port-canaveral-BOOK,npq-rci-port-canaveral--core,npq-rci-port-canaveral,/en/go/lines/royal-caribbean/from/port-canaveral/,royal caribbean port canaveral,"phrase (discovery, negatives applied)",12100,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-port-canaveral-BOOK,0.20,Royal Caribbean Port Canaveral,Sailings And Departure Dates,Talk To A Cruise Specialist
RC-npq-rci-port-canaveral-BOOK,npq-rci-port-canaveral--core,npq-rci-port-canaveral,/en/go/lines/royal-caribbean/from/port-canaveral/,royal caribbean cruises from port canaveral,exact,6600,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-port-canaveral-BOOK,0.20,Royal Caribbean Port Canaveral,Sailings And Departure Dates,Talk To A Cruise Specialist
RC-npq-rci-port-canaveral-BOOK,npq-rci-port-canaveral--core,npq-rci-port-canaveral,/en/go/lines/royal-caribbean/from/port-canaveral/,royal caribbean out of port canaveral,exact,170,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-port-canaveral-BOOK,0.20,Royal Caribbean Port Canaveral,Sailings And Departure Dates,Talk To A Cruise Specialist
RC-npq-rci-dest-bahamas-BOOK,npq-rci-dest-bahamas--core,npq-rci-dest-bahamas,/en/go/lines/royal-caribbean/to/bahamas/,royal caribbean bahamas cruise,exact,9900,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-bahamas-BOOK,0.21,Bahamas Sailings,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-npq-rci-dest-bahamas-BOOK,npq-rci-dest-bahamas--core,npq-rci-dest-bahamas,/en/go/lines/royal-caribbean/to/bahamas/,royal caribbean bahamas cruise,"phrase (discovery, negatives applied)",9900,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-bahamas-BOOK,0.21,Bahamas Sailings,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-npq-rci-dest-bahamas-BOOK,npq-rci-dest-bahamas--core,npq-rci-dest-bahamas,/en/go/lines/royal-caribbean/to/bahamas/,royal caribbean cruise to bahamas,exact,5400,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-bahamas-BOOK,0.20,Bahamas Sailings,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-npq-rci-dest-bahamas-BOOK,npq-rci-dest-bahamas--core,npq-rci-dest-bahamas,/en/go/lines/royal-caribbean/to/bahamas/,nassau bahamas royal caribbean port,exact,1300,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-bahamas-BOOK,0.48,Bahamas Sailings,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-npq-rci-dest-bahamas-BOOK,npq-rci-dest-bahamas--core,npq-rci-dest-bahamas,/en/go/lines/royal-caribbean/to/bahamas/,royal caribbean bahamas,exact,1000,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-bahamas-BOOK,0.20,Bahamas Sailings,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-npq-rci-dest-bahamas-BOOK,npq-rci-dest-bahamas--core,npq-rci-dest-bahamas,/en/go/lines/royal-caribbean/to/bahamas/,royal caribbean cruise nassau bahamas,exact,590,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-bahamas-BOOK,0.20,Bahamas Sailings,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-npq-rci-dest-bahamas-BOOK,npq-rci-dest-bahamas--core,npq-rci-dest-bahamas,/en/go/lines/royal-caribbean/to/bahamas/,royal caribbean tours bahamas,exact,390,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-bahamas-BOOK,0.20,Bahamas Sailings,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-p002-BOOK,p002--core,p002,/en/go/lines/royal-caribbean/from/galveston/,royal caribbean cruises from galveston,exact,9900,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-p002-BOOK,0.22,Royal Caribbean From Galveston,Galveston Sailings And Dates,Talk To A Cruise Specialist
RC-p002-BOOK,p002--core,p002,/en/go/lines/royal-caribbean/from/galveston/,royal caribbean cruises from galveston,"phrase (discovery, negatives applied)",9900,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-p002-BOOK,0.22,Royal Caribbean From Galveston,Galveston Sailings And Dates,Talk To A Cruise Specialist
RC-p002-BOOK,p002--core,p002,/en/go/lines/royal-caribbean/from/galveston/,royal caribbean galveston cruise port,exact,1900,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-p002-BOOK,0.20,Royal Caribbean From Galveston,Galveston Sailings And Dates,Talk To A Cruise Specialist
RC-p002-BOOK,p002--core,p002,/en/go/lines/royal-caribbean/from/galveston/,royal caribbean out of galveston,exact,880,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-p002-BOOK,0.20,Royal Caribbean From Galveston,Galveston Sailings And Dates,Talk To A Cruise Specialist
RC-p002-BOOK,p002--core,p002,/en/go/lines/royal-caribbean/from/galveston/,royal caribbean galveston schedule,exact,480,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-p002-BOOK,0.23,Royal Caribbean From Galveston,Galveston Sailings And Dates,Talk To A Cruise Specialist
RC-p002-BOOK,p002--core,p002,/en/go/lines/royal-caribbean/from/galveston/,royal caribbean cruise port in galveston texas,exact,260,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-p002-BOOK,0.20,Royal Caribbean From Galveston,Galveston Sailings And Dates,Talk To A Cruise Specialist
RC-npq-rci-fort-lauderdale-BOOK,npq-rci-fort-lauderdale--core,npq-rci-fort-lauderdale,/en/go/lines/royal-caribbean/from/fort-lauderdale/,royal caribbean cruises from fort lauderdale,exact,3600,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-fort-lauderdale-BOOK,0.21,Royal Caribbean Ft Lauderdale,Sailings And Departure Dates,Talk To A Cruise Specialist
RC-npq-rci-fort-lauderdale-BOOK,npq-rci-fort-lauderdale--core,npq-rci-fort-lauderdale,/en/go/lines/royal-caribbean/from/fort-lauderdale/,royal caribbean cruises from fort lauderdale,"phrase (discovery, negatives applied)",3600,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-fort-lauderdale-BOOK,0.21,Royal Caribbean Ft Lauderdale,Sailings And Departure Dates,Talk To A Cruise Specialist
RC-npq-rci-fort-lauderdale-BOOK,npq-rci-fort-lauderdale--core,npq-rci-fort-lauderdale,/en/go/lines/royal-caribbean/from/fort-lauderdale/,royal caribbean fort lauderdale port,exact,2900,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-fort-lauderdale-BOOK,0.39,Royal Caribbean Ft Lauderdale,Sailings And Departure Dates,Talk To A Cruise Specialist
RC-npq-rci-fort-lauderdale-BOOK,npq-rci-fort-lauderdale--core,npq-rci-fort-lauderdale,/en/go/lines/royal-caribbean/from/fort-lauderdale/,fort lauderdale royal caribbean cruise port,exact,1900,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-fort-lauderdale-BOOK,0.60,Royal Caribbean Ft Lauderdale,Sailings And Departure Dates,Talk To A Cruise Specialist
RC-npq-rci-fort-lauderdale-BOOK,npq-rci-fort-lauderdale--core,npq-rci-fort-lauderdale,/en/go/lines/royal-caribbean/from/fort-lauderdale/,royal caribbean fort lauderdale,exact,1000,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-fort-lauderdale-BOOK,0.21,Royal Caribbean Ft Lauderdale,Sailings And Departure Dates,Talk To A Cruise Specialist
RC-npq-rci-fort-lauderdale-BOOK,npq-rci-fort-lauderdale--core,npq-rci-fort-lauderdale,/en/go/lines/royal-caribbean/from/fort-lauderdale/,fort lauderdale cruise port for royal caribbean,exact,720,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-fort-lauderdale-BOOK,0.63,Royal Caribbean Ft Lauderdale,Sailings And Departure Dates,Talk To A Cruise Specialist
RC-npq-ship-oasis-of-the-seas-BOOK,npq-ship-oasis-of-the-seas--caribbean,npq-ship-oasis-of-the-seas,/en/go/ships/oasis-of-the-seas/,oasis of the seas caribbean cruise,exact,9900,BOOK-NOW,Knows the ship; call must present its itineraries and price dates,fwd-RC-npq-ship-oasis-of-the-seas-BOOK,0.20,Oasis Of The Seas Cruises,Check Oasis Sailing Dates,Talk To A Cruise Specialist
RC-npq-ship-oasis-of-the-seas-BOOK,npq-ship-oasis-of-the-seas--caribbean,npq-ship-oasis-of-the-seas,/en/go/ships/oasis-of-the-seas/,oasis of the seas caribbean cruise,"phrase (discovery, negatives applied)",9900,BOOK-NOW,Knows the ship; call must present its itineraries and price dates,fwd-RC-npq-ship-oasis-of-the-seas-BOOK,0.20,Oasis Of The Seas Cruises,Check Oasis Sailing Dates,Talk To A Cruise Specialist
RC-npq-rci-dest-mediterranean-BOOK,npq-rci-dest-mediterranean--core,npq-rci-dest-mediterranean,/en/go/lines/royal-caribbean/to/mediterranean/,royal caribbean mediterranean cruise,exact,8100,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-mediterranean-BOOK,0.20,Mediterranean Sailings,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-npq-rci-dest-mediterranean-BOOK,npq-rci-dest-mediterranean--core,npq-rci-dest-mediterranean,/en/go/lines/royal-caribbean/to/mediterranean/,royal caribbean mediterranean cruise,"phrase (discovery, negatives applied)",8100,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-mediterranean-BOOK,0.20,Mediterranean Sailings,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-npq-rci-dest-mediterranean-BOOK,npq-rci-dest-mediterranean--core,npq-rci-dest-mediterranean,/en/go/lines/royal-caribbean/to/mediterranean/,royal caribbean western mediterranean cruise,exact,590,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-mediterranean-BOOK,0.20,Mediterranean Sailings,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-npq-rci-dest-mediterranean-BOOK,npq-rci-dest-mediterranean--core,npq-rci-dest-mediterranean,/en/go/lines/royal-caribbean/to/mediterranean/,eastern mediterranean cruise royal caribbean,exact,170,BOOK-NOW,"Knows line and destination; call must narrow port, dates and cabin",fwd-RC-npq-rci-dest-mediterranean-BOOK,0.20,Mediterranean Sailings,Compare Sailings And Dates,Call A Cruise Planning Expert
RC-npq-rci-tampa-BOOK,npq-rci-tampa--core,npq-rci-tampa,/en/go/lines/royal-caribbean/from/tampa/,royal caribbean cruises from tampa,exact,4400,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-tampa-BOOK,0.21,Royal Caribbean From Tampa,Tampa Sailings And Dates,Talk To A Cruise Specialist
RC-npq-rci-tampa-BOOK,npq-rci-tampa--core,npq-rci-tampa,/en/go/lines/royal-caribbean/from/tampa/,royal caribbean cruises from tampa,"phrase (discovery, negatives applied)",4400,BOOK-NOW,"Knows line and departure port; call must present sailings, dates and cabin pricing",fwd-RC-npq-rci-tampa-BOOK,0.21,Royal Caribbean From Tampa,Tampa Sailings And Dates,Talk To A Cruise Specialist
